artist,album,genre,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The+Beatles,Let It Be (Remastered),classic rock,Dig A Pony - Remastered,0.538,0.478,-8.957,0.0388,0.472,0,0.17,0.53,59.004
Kendrick+Lamar,To Pimp A Butterfly,hip hop,Wesley's Theory,0.55,0.797,-6.762,0.278,0.36,3.50E-05,0.224,0.555,114.048
The+Beatles,Let It Be (Remastered),classic rock,One After 909 - Remastered,0.554,0.828,-6.435,0.0739,0.0307,0,0.907,0.904,90.95
No+Doubt,Tragic Kingdom,ska,Spiderwebs,0.49,0.841,-7.082,0.0544,0.0397,1.47E-05,0.0987,0.697,143.337
Taylor+Swift,1989,pop,I Know Places,0.609,0.771,-4.956,0.0572,0.223,0,0.138,0.554,159.982
Less+Than+Jake,Hello Rockview,ska,"Richard Allen George...No, It's Just Cheez",0.376,0.903,-5.724,0.276,0.13,0,0.816,0.582,96.752
Dessa,Chime,hip hop,Good Grief,0.627,0.677,-7.42,0.0447,0.277,0,0.0824,0.235,124.059
Fleetwood+Mac,Rumours (Deluxe),classic rock,Dreams - Live,0.485,0.643,-8.956,0.0422,0.174,0.00294,0.966,0.346,127.759
No+Doubt,Tragic Kingdom,ska,Excuse Me Mr.,0.335,0.958,-5.338,0.131,0.00458,0,0.282,0.655,145.917
Kendrick+Lamar,To Pimp A Butterfly,hip hop,For Sale? - Interlude,0.404,0.688,-8.367,0.0771,0.435,7.31E-05,0.123,0.264,81.718
Fleetwood+Mac,Rumours (Deluxe),classic rock,Songbird - 2004 Remastered Edition,0.389,0.0851,-15.477,0.0346,0.982,0.00187,0.101,0.374,184.298
Taylor+Swift,1989,pop,Style,0.592,0.789,-5.493,0.0382,0.00263,0.00103,0.125,0.489,94.999
Doomtree,No Kings,hip hop,Beacon,0.645,0.851,-6.237,0.26,0.0222,0,0.198,0.457,92.028
Doomtree,No Kings,hip hop,The Grand Experiment,0.716,0.892,-5.93,0.303,0.0263,0,0.121,0.733,139.938
Childish+Gambino,"""Awaken, My Love!""",hip hop,Have Some Love,0.783,0.803,-6.433,0.0848,0.0159,0.0197,0.682,0.931,148.184
Less+Than+Jake,Hello Rockview,ska,Al's War,0.437,0.977,-3.556,0.13,0.0203,2.75E-06,0.311,0.505,141.404
Pink Floyd,The Dark Side of the Moon,classic rock,Money,0.469,0.537,-10.421,0.152,0.0241,0.00201,0.269,0.788,124.193
Ed+Sheeran,÷ (Deluxe),pop,Supermarket Flowers,0.589,0.242,-10.517,0.0442,0.914,0,0.0887,0.231,89.749
